Words,Types,Sentences,Title
5082,1476,227,George_W._Bush_2005-02-02
1148,477,70,George_W._Bush_2005-08-31
3303,1017,143,George_W._Bush_2005-09-15
2235,754,114,George_W._Bush_2005-12-18
5332,1536,274,George_W._Bush_2006-01-31
1650,543,84,George_W._Bush_2006-07-19
2907,916,159,George_W._Bush_2007-01-10
5581,1586,286,George_W._Bush_2007-01-23
3573,847,217,George_W._Bush_2007-04-09
5728,1596,310,George_W._Bush_2008-01-28
3177,997,172,George_W._Bush_2008-03-19
679,339,35,George_W._Bush_2008-10-03
2957,1012,165,George_W._Bush_2008-11-13
1041,411,45,George_W._Bush_2008-12-19
7011,1354,444,George_W._Bush_2009-01-12
1865,733,119,George_W._Bush_2009-01-15
850,372,41,Gerald_Ford_1974-08-09
1095,445,40,Gerald_Ford_1974-09-08
591,313,16,Gerald_Ford_1974-09-16
2084,706,104,Gerald_Ford_1974-09-18
4335,1303,216,Gerald_Ford_1974-10-08
4155,1230,222,Gerald_Ford_1975-01-15
6107,1549,287,Gerald_Ford_1975-04-10
2378,816,114,Gerald_Ford_1975-04-23
1373,501,82,Gerald_Ford_1975-05-27
2790,905,138,Gerald_Ford_1975-08-01
2251,743,131,Gerald_Ford_1975-12-07
5015,1392,270,Gerald_Ford_1976-01-19
2909,963,179,Gerald_Ford_1976-08-19
4752,1395,212,Gerald_Ford_1977-01-12
1881,672,115,Harry_S._Truman_1945-04-16
708,305,34,Harry_S._Truman_1945-05-08
1159,481,54,Harry_S._Truman_1945-08-06
4072,1054,215,Harry_S._Truman_1945-08-09
1266,456,55,Harry_S._Truman_1945-09-01
2607,816,123,Harry_S._Truman_1945-10-27
2206,710,110,Harry_S._Truman_1947-03-12
1807,558,92,Harry_S._Truman_1947-06-20
1229,495,62,Harry_S._Truman_1947-06-29
2700,723,147,Harry_S._Truman_1948-07-15
787,282,34,Harry_S._Truman_1948-09-18
792,308,39,Harry_S._Truman_1948-09-18_2
283,122,12,Harry_S._Truman_1948-11-03
2281,741,118,Harry_S._Truman_1949-01-20
2465,658,148,Harry_S._Truman_1951-04-11
1960,549,106,Harry_S._Truman_1952-03-15
3755,910,200,Harry_S._Truman_1952-03-29
1263,393,71,Harry_S._Truman_1952-10-22
3767,1003,205,Harry_S._Truman_1953-01-15
2377,736,207,Joe_Biden_2021-01-20
3195,910,208,Joe_Biden_2021-03-11
9501,1653,573,Joe_Biden_2021-03-25
4347,1158,284,Joe_Biden_2021-03-31
8204,1765,504,Joe_Biden_2021-04-28
4965,1362,315,Joe_Biden_2021-06-01
4142,947,241,Joe_Biden_2021-07-08
2413,753,129,Joe_Biden_2021-08-16
3569,854,200,Joe_Biden_2021-08-26
3578,955,200,Joe_Biden_2021-09-09
3200,908,230,Joe_Biden_2021-11-15
3797,1011,221,Joe_Biden_2022-01-06
3536,975,232,Joe_Biden_2022-02-24
6583,1740,481,Joe_Biden_2022-03-01
3446,1088,216,Joe_Biden_2022-03-26
824,357,63,Joe_Biden_2022-05-24
2961,798,216,Joe_Biden_2022-09-01
3706,1146,187,Joe_Biden_2022-09-21
7263,1774,552,Joe_Biden_2023-02-07
2705,801,211,Joe_Biden_2023-02-21
2288,838,60,Joe_Biden_2023-10-20
2556,899,124,John_F._Kennedy_1960-07-15
1557,554,40,John_F._Kennedy_1960-09-12
3664,813,166,John_F._Kennedy_1960-09-26
2386,673,110,John_F._Kennedy_1960-10-07
1629,501,71,John_F._Kennedy_1960-10-13
3650,839,194,John_F._Kennedy_1960-10-21
907,385,35,John_F._Kennedy_1961-01-09
1369,532,52,John_F._Kennedy_1961-01-20
5288,1587,203,John_F._Kennedy_1961-01-30
971,335,35,John_F._Kennedy_1961-02-21
412,198,17,John_F._Kennedy_1961-03-01
2477,820,84,John_F._Kennedy_1961-03-13
1531,597,63,John_F._Kennedy_1961-04-20
2442,862,96,John_F._Kennedy_1961-04-27
615,273,25,John_F._Kennedy_1961-05-03
3007,913,121,John_F._Kennedy_1961-05-17
5912,1552,215,John_F._Kennedy_1961-05-25
6424,968,270,John_F._Kennedy_1961-06-06
1306,497,45,John_F._Kennedy_1961-06-07
4130,1149,183,John_F._Kennedy_1961-07-25
4502,1263,210,John_F._Kennedy_1961-09-25
1904,695,61,John_F._Kennedy_1961-10-12
1039,409,34,John_F._Kennedy_1961-11-11
2116,714,88,John_F._Kennedy_1961-11-16
6636,1489,211,John_F._Kennedy_1961-12-06
4205,966,147,John_F._Kennedy_1961-12-07
464,196,18,John_F._Kennedy_1961-12-11
6575,1872,262,John_F._Kennedy_1962-01-11
2269,771,95,John_F._Kennedy_1962-03-23
2363,756,78,John_F._Kennedy_1962-06-06
3888,1133,157,John_F._Kennedy_1962-06-11
2217,774,81,John_F._Kennedy_1962-09-12
1136,436,41,John_F._Kennedy_1962-09-30
2445,801,83,John_F._Kennedy_1962-10-22
5430,1564,217,John_F._Kennedy_1963-01-14
2025,670,80,John_F._Kennedy_1963-05-18
2193,764,67,John_F._Kennedy_1963-06-05
3447,1056,152,John_F._Kennedy_1963-06-10
2003,642,79,John_F._Kennedy_1963-06-11
674,262,26,John_F._Kennedy_1963-06-26
3126,906,129,John_F._Kennedy_1963-07-26
3560,1087,162,John_F._Kennedy_1963-09-20
3763,1006,123,John_F._Kennedy_1963-09-26
1870,647,79,John_F._Kennedy_1963-10-26
707,274,35,Lyndon_B._Johnson_1963-05-30
1640,566,73,Lyndon_B._Johnson_1963-11-27
2056,397,92,Lyndon_B._Johnson_1963-11-28
3086,544,134,Lyndon_B._Johnson_1963-12-17
3221,1032,131,Lyndon_B._Johnson_1964-01-08
3988,1105,194,Lyndon_B._Johnson_1964-02-01
1178,486,55,Lyndon_B._Johnson_1964-02-21
8556,1106,436,Lyndon_B._Johnson_1964-02-29
4728,1192,260,Lyndon_B._Johnson_1964-03-07
4605,1180,241,Lyndon_B._Johnson_1964-04-16
8754,1232,408,Lyndon_B._Johnson_1964-04-20
4505,1161,231,Lyndon_B._Johnson_1964-05-06
1820,614,97,Lyndon_B._Johnson_1964-05-22
1036,435,60,Lyndon_B._Johnson_1964-07-02
4525,1101,223,Lyndon_B._Johnson_1964-07-24
549,252,22,Lyndon_B._Johnson_1964-08-04
1097,386,55,Lyndon_B._Johnson_1964-08-05
4608,645,272,Lyndon_B._Johnson_1964-08-27
4297,1175,210,Lyndon_B._Johnson_1964-10-09
3906,641,248,Lyndon_B._Johnson_1964-10-18
4385,1220,254,Lyndon_B._Johnson_1965-01-04
1489,530,95,Lyndon_B._Johnson_1965-01-20
4503,1025,200,Lyndon_B._Johnson_1965-02-04
3908,948,179,Lyndon_B._Johnson_1965-03-13
3735,963,199,Lyndon_B._Johnson_1965-03-15
4801,1225,227,Lyndon_B._Johnson_1965-03-20
929,359,39,Lyndon_B._Johnson_1965-03-26
