Index,TokensCount,TypesCount,TypesCountMean,TypesCountStdDev,Sentences,Language,Modified,Title,Author
215,4155,1230,3.378049,11.335236,222,en,1704194868927,Gerald_Ford_1975-01-15,
216,6107,1549,3.9425435,16.799238,287,en,1704194868931,Gerald_Ford_1975-04-10,
217,2378,816,2.9142158,8.20818,114,en,1704194868931,Gerald_Ford_1975-04-23,
218,1373,501,2.740519,5.093185,82,en,1704194869003,Gerald_Ford_1975-05-27,
219,2790,905,3.0828729,9.734801,138,en,1704194868931,Gerald_Ford_1975-08-01,
220,2251,743,3.0296097,9.214818,131,en,1704194868931,Gerald_Ford_1975-12-07,
221,5015,1392,3.6027298,12.480591,270,en,1704194868931,Gerald_Ford_1976-01-19,
222,2909,963,3.0207684,8.737068,179,en,1704194868931,Gerald_Ford_1976-08-19,
223,4752,1395,3.4064517,13.612451,212,en,1704194868931,Gerald_Ford_1977-01-12,
224,1881,672,2.799107,7.3713384,115,en,1704194868931,Harry_S._Truman_1945-04-16,
225,708,305,2.3213115,4.532235,34,en,1704194869003,Harry_S._Truman_1945-05-08,
226,1159,481,2.4095633,5.801996,54,en,1704194869003,Harry_S._Truman_1945-08-06,
227,4072,1054,3.8633776,14.361244,215,en,1704194868931,Harry_S._Truman_1945-08-09,
228,1266,456,2.7763157,7.0122633,55,en,1704194869007,Harry_S._Truman_1945-09-01,
229,2607,816,3.1948528,10.350426,123,en,1704194868931,Harry_S._Truman_1945-10-27,
230,2206,710,3.1070423,9.475815,110,en,1704194868931,Harry_S._Truman_1947-03-12,
231,1807,558,3.2383513,8.477587,92,en,1704194868931,Harry_S._Truman_1947-06-20,
232,1229,495,2.4828284,5.869982,62,en,1704194869007,Harry_S._Truman_1947-06-29,
233,2700,723,3.7344398,11.313525,147,en,1704194868931,Harry_S._Truman_1948-07-15,
234,787,282,2.79078,4.8656893,34,en,1704194869007,Harry_S._Truman_1948-09-18,
235,792,308,2.5714285,4.427273,39,en,1704194869007,Harry_S._Truman_1948-09-18_2,
236,283,122,2.319672,2.8174968,12,en,1704194869007,Harry_S._Truman_1948-11-03,
237,2281,741,3.0782726,8.986436,118,en,1704194868931,Harry_S._Truman_1949-01-20,
